session_timestamp_ms,phase,airflow_raw,timestamp_ms
30245,relax,0,30245
30296,relax,0,30296
30346,relax,0,30346
30397,relax,0,30397
30448,relax,0,30448
30498,relax,0,30498
30549,relax,7,30549
30599,relax,0,30599
30650,relax,0,30650
30700,relax,0,30700
30752,relax,0,30752
30802,relax,0,30802
30853,relax,1,30853
30903,relax,1,30903
30954,relax,2,30954
31005,relax,10,31005
31056,relax,17,31056
31106,relax,25,31106
31157,relax,32,31157
31207,relax,41,31207
31259,relax,45,31259
31309,relax,51,31309
31360,relax,54,31360
31410,relax,60,31410
31461,relax,62,31461
31511,relax,63,31511
31563,relax,68,31563
31613,relax,72,31613
31664,relax,74,31664
31714,relax,72,31714
31765,relax,74,31765
31816,relax,72,31816
31867,relax,71,31867
31917,relax,70,31917
31968,relax,69,31968
32018,relax,68,32018
32070,relax,68,32070
32120,relax,66,32120
32171,relax,66,32171
32221,relax,64,32221
32272,relax,63,32272
32322,relax,64,32322
32374,relax,57,32374
32425,relax,57,32425
32475,relax,55,32475
32526,relax,53,32526
32576,relax,50,32576
32628,relax,50,32628
32678,relax,47,32678
32729,relax,47,32729
32779,relax,45,32779
32830,relax,45,32830
32881,relax,44,32881
32932,relax,43,32932
32982,relax,41,32982
33033,relax,41,33033
33083,relax,40,33083
33135,relax,34,33135
33185,relax,26,33185
33236,relax,21,33236
33286,relax,4,33286
33337,relax,1,33337
33387,relax,0,33387
33439,relax,1,33439
33489,relax,0,33489
33540,relax,0,33540
33590,relax,0,33590
33640,relax,0,33640
33692,relax,0,33692
33742,relax,0,33742
33793,relax,0,33793
33843,relax,0,33843
33894,relax,0,33894
33945,relax,0,33945
33996,relax,0,33996
34046,relax,0,34046
34097,relax,0,34097
34147,relax,0,34147
34197,relax,0,34197
34249,relax,0,34249
34299,relax,0,34299
34350,relax,0,34350
34400,relax,0,34400
34451,relax,0,34451
34502,relax,0,34502
34553,relax,0,34553
34603,relax,0,34603
34654,relax,0,34654
34704,relax,0,34704
34754,relax,0,34754
34806,relax,2,34806
34856,relax,0,34856
34907,relax,0,34907
34957,relax,0,34957
35008,relax,0,35008
35059,relax,0,35059
35110,relax,0,35110
35160,relax,0,35160
35211,relax,1,35211
35261,relax,1,35261
35312,relax,2,35312
35363,relax,10,35363
35413,relax,22,35413
35464,relax,34,35464
35514,relax,41,35514
35565,relax,58,35565
35616,relax,56,35616
35667,relax,65,35667
35718,relax,71,35718
35768,relax,78,35768
35819,relax,84,35819
35870,relax,92,35870
35921,relax,99,35921
35971,relax,111,35971
36022,relax,118,36022
36072,relax,122,36072
36124,relax,125,36124
36174,relax,120,36174
36225,relax,120,36225
36276,relax,121,36276
36326,relax,118,36326
36378,relax,113,36378
36428,relax,113,36428
36479,relax,109,36479
36529,relax,106,36529
36580,relax,104,36580
36630,relax,101,36630
36682,relax,98,36682
36733,relax,96,36733
36783,relax,95,36783
36834,relax,93,36834
36884,relax,93,36884
36936,relax,91,36936
36986,relax,91,36986
37037,relax,89,37037
37087,relax,87,37087
37138,relax,83,37138
37189,relax,82,37189
37240,relax,75,37240
37290,relax,76,37290
37341,relax,74,37341
37391,relax,73,37391
37442,relax,71,37442
37493,relax,67,37493
37544,relax,57,37544
37594,relax,44,37594
37645,relax,34,37645
37695,relax,23,37695
37747,relax,5,37747
37797,relax,9,37797
37848,relax,2,37848
37898,relax,0,37898
37949,relax,0,37949
38000,relax,0,38000
38051,relax,0,38051
38101,relax,0,38101
38152,relax,0,38152
38202,relax,0,38202
38252,relax,0,38252
38304,relax,0,38304
38354,relax,0,38354
38405,relax,0,38405
38455,relax,0,38455
38506,relax,0,38506
38557,relax,0,38557
38608,relax,0,38608
38658,relax,0,38658
38709,relax,0,38709
38759,relax,0,38759
38810,relax,0,38810
38861,relax,0,38861
38911,relax,0,38911
38962,relax,0,38962
39012,relax,0,39012
39063,relax,0,39063
39114,relax,0,39114
39165,relax,0,39165
39215,relax,0,39215
39266,relax,0,39266
39316,relax,2,39316
39367,relax,0,39367
39418,relax,0,39418
39468,relax,0,39468
39519,relax,0,39519
39569,relax,0,39569
39621,relax,0,39621
39671,relax,0,39671
39722,relax,0,39722
39772,relax,0,39772
39822,relax,0,39822
39873,relax,0,39873
39924,relax,1,39924
39975,relax,2,39975
40025,relax,2,40025
40076,relax,7,40076
40126,relax,26,40126
40178,relax,37,40178
40228,relax,48,40228
40279,relax,57,40279
40329,relax,66,40329
40380,relax,72,40380
40431,relax,78,40431
40482,relax,85,40482
40532,relax,91,40532
40583,relax,97,40583
40633,relax,103,40633
40684,relax,110,40684
40736,relax,114,40736
40786,relax,119,40786
40837,relax,124,40837
40887,relax,129,40887
40938,relax,125,40938
40989,relax,127,40989
41040,relax,128,41040
41090,relax,127,41090
41141,relax,130,41141
41192,relax,126,41192
41243,relax,126,41243
41294,relax,125,41294
41344,relax,124,41344
41395,relax,123,41395
41445,relax,120,41445
41497,relax,115,41497
41548,relax,113,41548
41598,relax,108,41598
41649,relax,104,41649
41699,relax,101,41699
41750,relax,109,41750
41801,relax,96,41801
41852,relax,91,41852
41902,relax,89,41902
41953,relax,86,41953
42003,relax,84,42003
42055,relax,81,42055
42106,relax,80,42106
42156,relax,77,42156
42207,relax,76,42207
42257,relax,73,42257
42309,relax,72,42309
42359,relax,67,42359
42410,relax,66,42410
42460,relax,63,42460
42511,relax,64,42511
42561,relax,63,42561
42613,relax,60,42613
42663,relax,59,42663
42714,relax,61,42714
42764,relax,57,42764
42815,relax,55,42815
42866,relax,52,42866
42917,relax,42,42917
42967,relax,30,42967
43018,relax,11,43018
43068,relax,2,43068
43120,relax,1,43120
43170,relax,2,43170
43221,relax,0,43221
43271,relax,1,43271
43322,relax,0,43322
43372,relax,0,43372
43424,relax,0,43424
43474,relax,0,43474
43524,relax,0,43524
43575,relax,0,43575
43625,relax,0,43625
43677,relax,0,43677
43727,relax,0,43727
43778,relax,0,43778
43828,relax,0,43828
43879,relax,0,43879
43930,relax,0,43930
43981,relax,0,43981
44031,relax,0,44031
44081,relax,0,44081
44132,relax,0,44132
44182,relax,0,44182
44234,relax,0,44234
44284,relax,0,44284
44335,relax,0,44335
44385,relax,0,44385
44436,relax,0,44436
44487,relax,0,44487
44537,relax,0,44537
44588,relax,0,44588
44638,relax,0,44638
44689,relax,0,44689
44740,relax,0,44740
44791,relax,0,44791
44841,relax,0,44841
44892,relax,0,44892
44942,relax,0,44942
44993,relax,1,44993
45044,relax,2,45044
45094,relax,4,45094
45145,relax,15,45145
45195,relax,33,45195
45246,relax,48,45246
45297,relax,60,45297
45348,relax,72,45348
45399,relax,82,45399
45449,relax,92,45449
45500,relax,101,45500
45551,relax,114,45551
45602,relax,106,45602
45652,relax,106,45652
45703,relax,107,45703
45753,relax,106,45753
45804,relax,119,45804
45856,relax,127,45856
45906,relax,133,45906
45957,relax,135,45957
46007,relax,132,46007
46058,relax,127,46058
46109,relax,121,46109
46160,relax,117,46160
46210,relax,112,46210
46261,relax,109,46261
46312,relax,104,46312
46363,relax,103,46363
46414,relax,99,46414
46464,relax,98,46464
46515,relax,95,46515
46565,relax,94,46565
46617,relax,90,46617
46667,relax,88,46667
46718,relax,85,46718
46768,relax,83,46768
46819,relax,81,46819
46869,relax,76,46869
46921,relax,76,46921
46971,relax,70,46971
47022,relax,69,47022
47072,relax,65,47072
47123,relax,64,47123
47175,relax,61,47175
47225,relax,60,47225
47276,relax,55,47276
47326,relax,52,47326
47377,relax,44,47377
47428,relax,35,47428
47479,relax,25,47479
47529,relax,16,47529
47580,relax,7,47580
47630,relax,3,47630
47681,relax,1,47681
47732,relax,1,47732
47783,relax,0,47783
47833,relax,0,47833
47883,relax,0,47883
47934,relax,0,47934
47985,relax,0,47985
48036,relax,0,48036
48086,relax,0,48086
48137,relax,0,48137
48187,relax,0,48187
48239,relax,0,48239
48289,relax,7,48289
48339,relax,0,48339
48390,relax,0,48390
48440,relax,0,48440
48491,relax,0,48491
48542,relax,0,48542
48593,relax,0,48593
48643,relax,0,48643
48694,relax,0,48694
48744,relax,0,48744
48796,relax,0,48796
48846,relax,0,48846
48896,relax,0,48896
