session_timestamp_ms,phase,gsr,ecg_raw
1645,relax,,1.486
1648,relax,,1.442
1651,relax,,1.735
1653,relax,,2.155
1656,relax,,2.351
1659,relax,,2.214
1661,relax,,1.872
1665,relax,,1.544
1668,relax,,1.393
1671,relax,,1.618
1673,relax,,2.038
1676,relax,,2.297
1679,relax,,2.234
1681,relax,,1.921
1684,relax,,1.559
1687,relax,,1.364
1689,relax,,1.51
1692,relax,,1.926
1695,relax,,2.268
1697,relax,,2.283
1700,relax,,2.043
1703,relax,,1.652
1707,relax,,1.388
1709,relax,,1.427
1712,relax,,1.804
1715,relax,,2.204
1717,relax,,2.326
1720,relax,,2.146
1723,relax,,1.794
1725,relax,,1.481
1728,relax,,1.427
1731,relax,,1.725
1733,relax,,2.146
1736,relax,,2.341
1739,relax,,2.224
1741,relax,,1.911
1744,relax,,1.574
1747,relax,,1.447
1751,relax,,1.657
1753,relax,,2.087
1756,relax,,2.356
1759,relax,,2.297
1761,relax,,1.989
1764,relax,,1.618
1767,relax,,1.393
1769,relax,,1.51
1772,relax,,1.906
1775,relax,,2.239
1777,relax,,2.268
1780,relax,,2.023
1783,relax,,1.652
1786,relax,,1.373
1788,relax,,1.408
1792,relax,,1.76
1795,relax,,2.155
1797,relax,,2.278
1800,relax,,2.077
1803,relax,,1.73
1805,relax,,1.432
1808,relax,,1.383
1811,relax,,1.686
1813,relax,,2.111
1816,relax,,2.346
1819,relax,,2.19
1821,relax,,1.867
1823,relax,1.44,
1824,relax,,1.569
1827,relax,,1.398
1830,relax,,1.618
1832,relax,,2.043
1836,relax,,2.317
1839,relax,,2.253
1841,relax,,1.95
1844,relax,,1.588
1847,relax,,1.373
1849,relax,,1.505
1852,relax,,1.911
1855,relax,,2.292
1857,relax,,2.312
1860,relax,,2.072
1863,relax,,1.706
1866,relax,,1.427
1868,relax,,1.457
1871,relax,,1.799
1874,relax,,2.209
1876,relax,,2.331
1880,relax,,2.16
1883,relax,,1.808
1885,relax,,1.496
1888,relax,,1.447
1891,relax,,1.647
1893,relax,,1.965
1896,relax,,2.028
1899,relax,,1.784
1902,relax,,1.383
1904,relax,,1.026
1907,relax,,0.87
1910,relax,,1.08
1912,relax,,1.544
1915,relax,,1.935
1918,relax,,2.033
1921,relax,,1.877
1924,relax,,1.628
1927,relax,,1.53
1929,relax,,1.799
1932,relax,,2.322
1935,relax,,2.727
1937,relax,,2.752
1940,relax,,2.429
1943,relax,,1.979
1946,relax,,1.623
1948,relax,,1.554
1951,relax,,1.823
1954,relax,,2.175
1956,relax,,2.273
1959,relax,,2.092
1963,relax,,1.745
1965,relax,,1.422
1968,relax,,1.334
